nohup: ignoring input
Dataset: Chinatown
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 24, 1)
# Run 0
Epoch #57: loss=1.9019084572792053
Epoch #58: loss=1.8139177560806274
Epoch #59: loss=1.8374261260032654
Epoch #60: loss=1.627097249031067
Epoch #61: loss=1.7698562145233154
Epoch #62: loss=1.671356976032257
Epoch #63: loss=1.8969373106956482
Epoch #64: loss=1.7999275922775269
Epoch #65: loss=1.6224427223205566
Epoch #66: loss=1.5436962246894836
Epoch #67: loss=1.8283753991127014
Epoch #68: loss=1.7396017909049988
Epoch #69: loss=1.5797481536865234
Epoch #70: loss=1.5762224197387695
Epoch #71: loss=1.4640089273452759
Epoch #72: loss=1.721585750579834
Epoch #73: loss=1.6633581519126892
Epoch #74: loss=1.7543476819992065
Epoch #75: loss=1.491593062877655
Epoch #76: loss=1.6817295551300049
Epoch #77: loss=1.6141850352287292
Epoch #78: loss=1.6123204827308655
Epoch #79: loss=1.8585280179977417
Epoch #80: loss=1.7699676752090454
Epoch #81: loss=1.7210306525230408
Epoch #82: loss=1.5436771512031555
Epoch #83: loss=1.6520501375198364
Epoch #84: loss=1.3420776724815369
Epoch #85: loss=1.5868749022483826
Epoch #86: loss=1.5284368395805359
Epoch #87: loss=1.5328739881515503
Epoch #88: loss=1.1956843733787537
Epoch #89: loss=1.5852655172348022
Epoch #90: loss=1.3750985264778137
Epoch #91: loss=1.5977354645729065
Epoch #92: loss=1.6223295331001282
Epoch #93: loss=1.6299282312393188
Epoch #94: loss=1.5378100275993347
Epoch #95: loss=1.2211979031562805
Epoch #96: loss=1.6729223728179932
Epoch #97: loss=1.3372023105621338
Epoch #98: loss=1.6278253197669983
Epoch #99: loss=1.980911672115326

Training time: 0:00:02.800378

Evaluation result: {'acc': 0.967930029154519, 'f1': 0.9605932424669695, 'precision': 0.9513133131494969, 'recall': 0.971289412971033, 'auprc': 0.9966968304408055}
# Run 2
Epoch #0: loss=12.687659740447998
Epoch #1: loss=6.725090026855469
Epoch #2: loss=3.7835317850112915
Epoch #3: loss=2.9757925271987915
Epoch #4: loss=2.2334487438201904
Epoch #5: loss=2.372305154800415
Epoch #6: loss=2.197121262550354
Epoch #7: loss=1.8418208360671997
Epoch #8: loss=2.2135273218154907
Epoch #9: loss=2.1999521255493164
Epoch #10: loss=2.1075717210769653
Epoch #11: loss=2.1536465883255005
Epoch #12: loss=2.105432152748108
Epoch #13: loss=2.0547831058502197
Epoch #14: loss=1.9750914573669434
Epoch #15: loss=2.034745216369629
Epoch #16: loss=2.100339889526367
Epoch #17: loss=1.774280846118927
Epoch #18: loss=2.032954454421997
Epoch #19: loss=2.047451674938202
Epoch #20: loss=2.0705896615982056
Epoch #21: loss=2.07233726978302
Epoch #22: loss=2.0711936950683594
Epoch #23: loss=2.006446957588196
Epoch #24: loss=1.864366888999939
Epoch #25: loss=1.7896960377693176
Epoch #26: loss=1.930971920490265
Epoch #27: loss=1.7094054222106934
Epoch #28: loss=1.7456917762756348
Epoch #29: loss=1.8283029794692993
Epoch #30: loss=1.8508424162864685
Epoch #31: loss=1.7583110928535461
Epoch #32: loss=1.816166341304779
Epoch #33: loss=1.8840482831001282
Epoch #34: loss=1.7006278038024902
Epoch #35: loss=1.9032507538795471
Epoch #36: loss=1.9319418668746948
Epoch #37: loss=1.679453194141388
Epoch #38: loss=1.7644917964935303
Epoch #39: loss=1.8103935718536377
Epoch #40: loss=1.7961012721061707
Epoch #41: loss=1.9022122025489807
Epoch #42: loss=1.6557456254959106
Epoch #43: loss=1.8892647624015808
Epoch #44: loss=1.7167840600013733
Epoch #45: loss=1.8976373076438904
Epoch #46: loss=1.671186625957489
Epoch #47: loss=1.822529911994934
